NDC,ATC
5 ML Cidofovir 75 MG/ML Injection [Vistide],DIRECT ACTING ANTIVIRALS
mycophenolate mofetil 500 MG Injection [Cellcept],IMMUNOSUPPRESSANTS
etanercept 25 MG/ML Injectable Solution [Enbrel],IMMUNOSUPPRESSANTS
bacitracin 0.5 UNT/MG / polymyxin B 10 UNT/MG Topical Ointment,ANTIBIOTICS FOR TOPICAL USE
GELCLAIR GEL,ALL OTHER THERAPEUTIC PRODUCTS
Chlorothiazide 28 MG/ML Injectable Solution [Diuril Sodium],ALL OTHER THERAPEUTIC PRODUCTS
"heparin sodium, porcine 100 UNT/ML Injectable Solution [Hep-Lock]",ANTITHROMBOTIC AGENTS
chlordiazepoxide hydrochloride 5 MG Oral Capsule,ANXIOLYTICS
0.6 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra],ANTITHROMBOTIC AGENTS
25 ML doxorubicin hydrochloride 2 MG/ML Injection,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
colesevelam hydrochloride 625 MG Oral Tablet [Welchol],"LIPID MODIFYING AGENTS, PLAIN"
12 HR hyoscyamine sulfate 0.375 MG Extended Release Oral Tablet,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
carmustine 100 MG Injection [BiCNU],ALKYLATING AGENTS
melphalan 50 MG Injection,ALKYLATING AGENTS
168 HR Clonidine 0.00417 MG/HR Transdermal System,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
"0.5 ML diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Prefilled Syringe [Tenivac]",BACTERIAL VACCINES
potassium nitrate 250 MG/ML / silver nitrate 750 MG/ML Medicated Pad,ANTISEPTICS AND DISINFECTANTS
olmesartan medoxomil 20 MG Oral Tablet,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
glimepiride 2 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
lopinavir 200 MG / ritonavir 50 MG Oral Tablet [Kaletra],DIRECT ACTING ANTIVIRALS
"sodium phosphate 180 MG/ML / Sodium Phosphate, Monobasic 480 MG/ML Oral Solution [Fleet Phospho-Soda]",ALL OTHER THERAPEUTIC PRODUCTS
desonide 0.5 MG/ML Topical Cream,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
trospium chloride 20 MG Oral Tablet [Sanctura],UROLOGICALS
Methylprednisolone 2 MG Oral Tablet [Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
hydrocortisone 1.67 MG/ML Enema [Colocort],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
hydrocortisone acetate 100 MG/ML Rectal Foam [Cortifoam],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
1 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection [Havrix],VIRAL VACCINES
Glyburide 5 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
solifenacin succinate 5 MG Oral Tablet [Vesicare],UROLOGICALS
Risperidone 0.5 MG Disintegrating Oral Tablet [Risperdal],ANTIPSYCHOTICS
Risperidone 1 MG Disintegrating Oral Tablet [Risperdal],ANTIPSYCHOTICS
Metoclopramide 1 MG/ML Oral Solution,PROPULSIVES
onabotulinumtoxinA 100 UNT Injection [Botox],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
2 ML verapamil hydrochloride 2.5 MG/ML Injection,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
sodium acetate 2 MEQ/ML Injectable Solution,I.V. SOLUTION ADDITIVES
bromocriptine 2.5 MG Oral Tablet,OTHER GYNECOLOGICALS in ATC
primidone 50 MG Oral Tablet,ANTIEPILEPTICS
citalopram 2 MG/ML Oral Solution,ANTIDEPRESSANTS
Acetaminophen 24 MG/ML / Codeine Phosphate 2.4 MG/ML Oral Solution,OPIOID ANALGESICS
1.5 ML cabazitaxel 40 MG/ML Injection [Jevtana],"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
clozapine 100 MG Oral Tablet,ANTIPSYCHOTICS
cabergoline 0.5 MG Oral Tablet,OTHER GYNECOLOGICALS in ATC
2 ML methotrexate 25 MG/ML Injection,ANTIMETABOLITES
raloxifene hydrochloride 60 MG Oral Tablet [Evista],OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC
"thrombin, bovine 2000 UNT/ML Topical Solution [Thrombin-JMI]",VITAMIN K AND OTHER HEMOSTATICS
hydrocortisone 5 MG Oral Tablet [Cortef],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Benzoyl Peroxide 0.1 MG/MG Topical Gel [10 Benzagel],ANTI-ACNE PREPARATIONS FOR TOPICAL USE
Dipyridamole 25 MG Oral Tablet,ANTITHROMBOTIC AGENTS
probenecid 500 MG Oral Tablet,ANTIGOUT PREPARATIONS
talc 5000 MG Topical Powder,ALL OTHER THERAPEUTIC PRODUCTS
250 ML esmolol hydrochloride 10 MG/ML Injection [Brevibloc],BETA BLOCKING AGENTS
acyclovir 800 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
Norepinephrine 1 MG/ML Injectable Solution,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
100 ML esmolol hydrochloride 20 MG/ML Injection,BETA BLOCKING AGENTS
Dicloxacillin 500 MG Oral Capsule,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
30 ML lidocaine hydrochloride 10 MG/ML Injection [Xylocaine],"ANTIARRHYTHMICS, CLASS I AND III"
terazosin 5 MG Oral Capsule,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler [Maxair],"ADRENERGICS, INHALANTS"
rizatriptan 10 MG Oral Tablet [Maxalt],ANTIMIGRAINE PREPARATIONS
glimepiride 1 MG Oral Tablet [Amaryl],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
nicotine 4 MG Oral Lozenge,DRUGS USED IN ADDICTIVE DISORDERS
5 ML Succinylcholine Chloride 20 MG/ML Prefilled Syringe,ALL OTHER THERAPEUTIC PRODUCTS
0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe,ANTITHROMBOTIC AGENTS
ceftriaxone 250 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
bendamustine hydrochloride 100 MG Injection [Treanda],ALKYLATING AGENTS
Tretinoin 0.5 MG/ML Topical Cream [Retin-A],ANTI-ACNE PREPARATIONS FOR TOPICAL USE
imatinib 400 MG Oral Tablet [Gleevec],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
Paroxetine 25 MG Extended Release Tablet [Paxil CR],ANTIDEPRESSANTS
levocarnitine 330 MG Oral Tablet,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC
triazolam 0.25 MG Oral Tablet,HYPNOTICS AND SEDATIVES
Levothyroxine Sodium 0.175 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
leflunomide 10 MG Oral Tablet,IMMUNOSUPPRESSANTS
VITAMIN B-2 50 MG TABLET,OTHER PLAIN VITAMIN PREPARATIONS in ATC
riboflavin 50 MG Oral Tablet,OTHER PLAIN VITAMIN PREPARATIONS in ATC
Bumetanide 0.25 MG/ML Injectable Solution,HIGH-CEILING DIURETICS
Chlorothiazide 250 MG Oral Tablet,"LOW-CEILING DIURETICS, THIAZIDES"
10 ML nitroglycerin 5 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
Flecainide Acetate 50 MG Oral Tablet [Tambocor],"ANTIARRHYTHMICS, CLASS I AND III"
bumetanide 0.5 MG Oral Tablet,HIGH-CEILING DIURETICS
Amiodarone hydrochloride 50 MG/ML Injectable Solution,"ANTIARRHYTHMICS, CLASS I AND III"
anastrozole 1 MG Oral Tablet [Arimidex],HORMONE ANTAGONISTS AND RELATED AGENTS
tobramycin 3 MG/ML Ophthalmic Solution [Tobrex],ANTIINFECTIVE OPHTHALMOLOGICS
Miconazole Nitrate 0.02 MG/MG Topical Ointment,ANTIFUNGALS FOR TOPICAL USE
carbidopa 10 MG / levodopa 100 MG Oral Tablet,DOPAMINERGIC AGENTS
temozolomide 5 MG Oral Capsule [Temodar],ALKYLATING AGENTS
1 ML meperidine hydrochloride 50 MG/ML Injection,OPIOID ANALGESICS
risperidone 2 MG Oral Tablet [Risperdal],ANTIPSYCHOTICS
20 ML morphine sulfate 50 MG/ML Injection,OPIOID ANALGESICS
budesonide 0.25 MG/ML Inhalation Suspension [Pulmicort],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler [Pulmicort],ALL OTHER THERAPEUTIC PRODUCTS
Buprenorphine 8 MG / Naloxone 2 MG Sublingual Tablet [Suboxone],DRUGS USED IN ADDICTIVE DISORDERS
diazepam 1 MG/ML Oral Solution,ANXIOLYTICS
Pramipexole dihydrochloride 1 MG Oral Tablet [Mirapex],DOPAMINERGIC AGENTS
calcipotriene 0.05 MG/ML Topical Cream [Dovonex],ANTIPSORIATICS FOR TOPICAL USE
betamethasone 0.5 MG/ML Topical Lotion,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
propafenone hydrochloride 225 MG Oral Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
Nitroglycerin 0.104 MG/HR 24 Hour Transdermal Patch,VASODILATORS USED IN CARDIAC DISEASES
50 ML sodium thiosulfate 250 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
12 HR Oxycodone Hydrochloride 40 MG Extended Release Tablet [Oxycontin],OPIOID ANALGESICS
Benzoyl Peroxide 0.025 MG/MG Topical Gel,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
silver sulfadiazine 10 MG/ML Topical Cream,CHEMOTHERAPEUTICS FOR TOPICAL USE
benzoyl peroxide 0.05 MG/MG Topical Gel,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
edoxaban 30 MG Oral Tablet [Savaysa],ANTITHROMBOTIC AGENTS
1 ML nalbuphine hydrochloride 10 MG/ML Injection,OPIOID ANALGESICS
lithium carbonate 300 MG Extended Release Oral Tablet,ANTIPSYCHOTICS
lithium citrate 60 MG/ML Oral Solution,ANTIPSYCHOTICS
flumazenil 0.1 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
penicillamine 250 MG Oral Tablet [Depen],SPECIFIC ANTIRHEUMATIC AGENTS
penicillamine 250 MG Oral Capsule [Cuprimine],SPECIFIC ANTIRHEUMATIC AGENTS
Disopyramide 150 MG Oral Capsule,"ANTIARRHYTHMICS, CLASS I AND III"
20 ML dobutamine 12.5 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
epoprostenol 1.5 MG Injection [Veletri],ANTITHROMBOTIC AGENTS
epinephrine 1 MG/ML Injectable Solution,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
gabapentin 50 MG/ML Oral Solution [Neurontin],ANTIEPILEPTICS
HYDROCHLORIC ACID LIQUID,ALL OTHER THERAPEUTIC PRODUCTS
dronabinol 2.5 MG Oral Capsule [Marinol],ANTIEMETICS AND ANTINAUSEANTS
Famotidine 20 MG Oral Tablet [Pepcid],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
ursodiol 300 MG Oral Capsule [Actigall],BILE THERAPY DRUGS
SM VITAMIN B-1 100 MG TABLET,"VITAMIN B<n>1</n>, PLAIN AND IN COMBINATION WITH VITAMIN B<n>6</n> AND B<n>12</n>"
1 ML Propranolol Hydrochloride 1 MG/ML Injection,BETA BLOCKING AGENTS
50 ML penicillin G potassium 40000 UNT/ML Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
Carbamazepine 100 MG 12 hour Extended Release Tablet [Tegretol XR],ANTIEPILEPTICS
5 ML ethanol 0.98 ML/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
flucytosine 500 MG Oral Capsule,ANTIMYCOTICS FOR SYSTEMIC USE
flucytosine 250 MG Oral Capsule,ANTIMYCOTICS FOR SYSTEMIC USE
atropine sulfate 0.005 MG/ML / diphenoxylate hydrochloride 0.5 MG/ML Oral Solution,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
Doxercalciferol 0.0005 MG Oral Capsule [Hectorol],ANTI-PARATHYROID AGENTS
aspirin 81 MG Delayed Release Oral Tablet [Aspir-Low],OTHER ANALGESICS AND ANTIPYRETICS in ATC
Doxercalciferol 0.0025 MG Oral Capsule [Hectorol],ANTI-PARATHYROID AGENTS
168 HR clonidine 0.0125 MG/HR Transdermal System [Catapres],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution [Hydramine],ANTIHISTAMINES FOR SYSTEMIC USE
Bupropion Hydrochloride 100 MG Oral Tablet [Wellbutrin],ANTIDEPRESSANTS
50 ML cetuximab 2 MG/ML Injection [Erbitux],OTHER ANTINEOPLASTIC AGENTS in ATC
hydrocortisone valerate 2 MG/ML Topical Cream [Westcort],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
phenylephrine hydrochloride 5 MG/ML Nasal Spray [Neo-Synephrine],DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
oseltamivir 30 MG Oral Capsule,DIRECT ACTING ANTIVIRALS
THERA M PLUS TABLET,ALL OTHER THERAPEUTIC PRODUCTS
dofetilide 0.25 MG Oral Capsule,"ANTIARRHYTHMICS, CLASS I AND III"
esomeprazole 20 MG Delayed Release Oral Capsule [Nexium],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Amantadine Hydrochloride 100 MG Oral Capsule,DOPAMINERGIC AGENTS
permethrin 50 MG/ML Topical Cream,"ECTOPARASITICIDES, INCL. SCABICIDES"
acamprosate calcium 333 MG Delayed Release Oral Tablet,DRUGS USED IN ADDICTIVE DISORDERS
sitagliptin 50 MG Oral Tablet [Januvia],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
2 ML vincristine sulfate 1 MG/ML Injection [Vincasar],"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
etoposide 20 MG/ML Injectable Solution,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
1 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron],HORMONES AND RELATED AGENTS
12 HR albuterol 4 MG Extended Release Oral Tablet,ADRENERGICS FOR SYSTEMIC USE
Oseltamivir 6 MG/ML Oral Suspension [Tamiflu],DIRECT ACTING ANTIVIRALS
sildenafil 20 MG Oral Tablet,UROLOGICALS
10 ML Etomidate 2 MG/ML Injection,"ANESTHETICS, GENERAL"
doxepin hydrochloride 10 MG Oral Capsule,ANTIDEPRESSANTS
hydrocortisone 0.01 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
sodium chloride 234 MG/ML Injectable Solution,I.V. SOLUTION ADDITIVES
168 HR clonidine 0.00833 MG/HR Transdermal System [Catapres],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
12 HR Hyoscyamine Sulfate 0.375 MG Extended Release Capsule [Levsinex],"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
anastrozole 1 MG Oral Tablet,HORMONE ANTAGONISTS AND RELATED AGENTS
Nitroglycerin 2.5 MG Extended Release Capsule,BETA BLOCKING AGENTS
ritonavir 80 MG/ML Oral Solution [Norvir],DIRECT ACTING ANTIVIRALS
20 ML oxaliplatin 5 MG/ML Injection [Eloxatin],OTHER ANTINEOPLASTIC AGENTS in ATC
10 ML oxaliplatin 5 MG/ML Injection,OTHER ANTINEOPLASTIC AGENTS in ATC
entacapone 200 MG Oral Tablet,DOPAMINERGIC AGENTS
celecoxib 200 MG Oral Capsule,OTHER ANTINEOPLASTIC AGENTS in ATC
Propafenone Hydrochloride 150 MG Oral Tablet [Rythmol],"ANTIARRHYTHMICS, CLASS I AND III"
sofosbuvir 400 MG Oral Tablet [Sovaldi],DIRECT ACTING ANTIVIRALS
daclatasvir 60 MG Oral Tablet [Daklinza],DIRECT ACTING ANTIVIRALS
niacinamide 100 MG Oral Tablet,OTHER PLAIN VITAMIN PREPARATIONS in ATC
20 ML acyclovir 50 MG/ML Injection,DIRECT ACTING ANTIVIRALS
sulfadiazine 500 MG Oral Tablet,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
Pyrimethamine 25 MG Oral Tablet [Daraprim],ANTIMALARIALS
azithromycin 600 MG Oral Tablet,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
azacitidine 100 MG Injection,ANTIMETABOLITES
atropine sulfate 0.00388 MG/ML / hyoscyamine sulfate 0.0207 MG/ML / phenobarbital 3.24 MG/ML / scopolamine hydrobromide 0.0013 MG/ML Oral Solution [Donnatal],ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
ammonium lactate 120 MG/ML Topical Lotion,ALL OTHER THERAPEUTIC PRODUCTS
Morphine Sulfate 30 MG Oral Tablet,OPIOID ANALGESICS
168 HR Clonidine Hydrochloride 0.00417 MG/HR Transdermal Patch [Catapres-TTS-1],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
mineral oil 999 MG/ML Oral Solution,DRUGS FOR CONSTIPATION
Promethazine Hydrochloride 25 MG Oral Tablet [Phenergan],ANTIHISTAMINES FOR SYSTEMIC USE
12 HR guaifenesin 600 MG Extended Release Oral Tablet,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
mineral oil 0.15 MG/MG / petrolatum 0.83 MG/MG Ophthalmic Ointment,OTHER OPHTHALMOLOGICALS IN ATC
Dextran 40 100 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
Carbidopa 25 MG / Levodopa 100 MG Extended Release Tablet [Sinemet 25-100],DOPAMINERGIC AGENTS
1.7 ML denosumab 70 MG/ML Injection [Xgeva],DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
cephalexin 250 MG Oral Capsule,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
triamcinolone acetonide 0.00025 MG/MG Topical Ointment,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
24 HR topiramate 100 MG Extended Release Oral Capsule [Trokendi],ANTIEPILEPTICS
mirtazapine 15 MG Disintegrating Oral Tablet [Remeron],ANTIDEPRESSANTS
Clorazepate Dipotassium 3.75 MG Oral Tablet,ANXIOLYTICS
clorazepate dipotassium 3.75 MG Oral Tablet,ANXIOLYTICS
Methylphenidate Hydrochloride 10 MG Oral Tablet [Methylin],"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
100 ML Fluconazole 2 MG/ML Injection,ANTIMYCOTICS FOR SYSTEMIC USE
Thiamine hydrochloride 100 MG/ML Injectable Solution,"VITAMIN B<n>1</n>, PLAIN AND IN COMBINATION WITH VITAMIN B<n>6</n> AND B<n>12</n>"
24 HR metformin hydrochloride 750 MG Extended Release Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
gemfibrozil 600 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
bictegravir 50 MG / emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet [Biktarvy],DIRECT ACTING ANTIVIRALS
clobetasol propionate 0.0005 MG/MG Topical Gel,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
fosamprenavir 700 MG Oral Tablet [Lexiva],DIRECT ACTING ANTIVIRALS
ledipasvir 90 MG / sofosbuvir 400 MG Oral Tablet [Harvoni],DIRECT ACTING ANTIVIRALS
methylphenidate hydrochloride 10 MG Oral Tablet,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
1 ML triamcinolone acetonide 40 MG/ML Injection [Kenalog],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
trifluridine 10 MG/ML Ophthalmic Solution,ANTIINFECTIVE OPHTHALMOLOGICS
24 HR diltiazem hydrochloride 240 MG Extended Release Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
1 ML denosumab 60 MG/ML Prefilled Syringe [Prolia],DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
clindamycin 150 MG/ML Injectable Solution [Cleocin],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
cefazolin 500 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
dofetilide 0.5 MG Oral Capsule [Tikosyn],"ANTIARRHYTHMICS, CLASS I AND III"
dofetilide 0.25 MG Oral Capsule [Tikosyn],"ANTIARRHYTHMICS, CLASS I AND III"
eplerenone 25 MG Oral Tablet,POTASSIUM-SPARING DIURETICS
naproxen 375 MG Oral Tablet,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
eplerenone 50 MG Oral Tablet [Inspra],POTASSIUM-SPARING DIURETICS
apraclonidine 5 MG/ML Ophthalmic Solution [Iopidine],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
atomoxetine 60 MG Oral Capsule [Strattera],"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
letrozole 2.5 MG Oral Tablet [Femara],HORMONE ANTAGONISTS AND RELATED AGENTS
5 ML palonosetron 0.05 MG/ML Injection [Aloxi],ANTIEMETICS AND ANTINAUSEANTS
fluocinolone acetonide 0.1 MG/ML Topical Solution,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
100 ML tirofiban 0.05 MG/ML Injection [Aggrastat],ANTITHROMBOTIC AGENTS
Augmented Betamethasone 0.0005 MG/MG Topical Gel,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule [Inderal],BETA BLOCKING AGENTS
naratriptan 2.5 MG Oral Tablet [Amerge],ANTIMIGRAINE PREPARATIONS
200 ACTUAT Budesonide 0.032 MG/ACTUAT Nasal Inhaler [Rhinocort],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
cetirizine hydrochloride 10 MG Oral Tablet [Zyrtec],ANTIHISTAMINES FOR SYSTEMIC USE
Hydrocortisone 0.005 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
glimepiride 4 MG Oral Tablet [Amaryl],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
hydrocortisone 0.005 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
50 ML argatroban 1 MG/ML Injection,ANTITHROMBOTIC AGENTS
10 ML etomidate 2 MG/ML Injection [Amidate],"ANESTHETICS, GENERAL"
aldesleukin 22000000 UNT Injection [Proleukin],IMMUNOSTIMULANTS
carvedilol 3.125 MG Oral Tablet [Coreg],BETA BLOCKING AGENTS
"Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007 (H1N1) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated A-Uruguay-716-2007 (H3N2) (A-Brisbane-10-2007-like) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated B-Florida-4-2006 strain 0.",ALL OTHER THERAPEUTIC PRODUCTS
bismuth subsalicylate 262 MG Chewable Tablet [Pepto-bismol],ALL OTHER THERAPEUTIC PRODUCTS
risperidone 1 MG/ML Oral Solution,ANTIPSYCHOTICS
24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel],ANTIPSYCHOTICS
bicalutamide 50 MG Oral Tablet,HORMONE ANTAGONISTS AND RELATED AGENTS
vitamin E 100 UNT Oral Capsule,OTHER PLAIN VITAMIN PREPARATIONS in ATC
abacavir 300 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
lamivudine 100 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
lamivudine 100 MG Oral Tablet [Epivir HBV],DIRECT ACTING ANTIVIRALS
hypromellose 25 MG/ML Ophthalmic Solution [Gonak],OTHER OPHTHALMOLOGICALS IN ATC
lamivudine 10 MG/ML Oral Solution [Epivir],DIRECT ACTING ANTIVIRALS
Metronidazole 250 MG Oral Tablet,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
simethicone 66.7 MG/ML Oral Suspension,ALL OTHER THERAPEUTIC PRODUCTS
niacin 500 MG Oral Tablet,BILE THERAPY DRUGS
Permethrin 50 MG/ML Topical Cream [Elimite],"ECTOPARASITICIDES, INCL. SCABICIDES"
Haloperidol 5 MG/ML Injectable Solution [Haldol],ANTIPSYCHOTICS
carbidopa 25 MG / levodopa 250 MG Oral Tablet,DOPAMINERGIC AGENTS
ketorolac tromethamine 5 MG/ML Ophthalmic Solution,"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC"
24 HR nifedipine 90 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
Gentamicin 1 MG/ML Topical Cream,ANTIBIOTICS FOR TOPICAL USE
Amoxicillin 250 MG / clavulanate potassium 125 MG Oral Tablet [Augmentin 250-mg],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
1 ML epoetin alfa 10000 UNT/ML Injection [Epogen],OTHER ANTIANEMIC PREPARATIONS in ATC
0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],VIRAL VACCINES
Phenylephrine Hydrochloride 25 MG/ML Ophthalmic Solution,MYDRIATICS AND CYCLOPLEGICS
tropicamide 10 MG/ML Ophthalmic Solution,MYDRIATICS AND CYCLOPLEGICS
120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
Famotidine 0.4 MG/ML Injectable Solution [Pepcid],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Theophylline 5.33 MG/ML Oral Solution [Elixophyllin],OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
100 ACTUAT Beclomethasone Dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
entecavir 0.5 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
Droperidol 2.5 MG/ML Injectable Solution [Inapsine],ALL OTHER THERAPEUTIC PRODUCTS
250 ML tirofiban 0.05 MG/ML Injection [Aggrastat],ANTITHROMBOTIC AGENTS
